Structure,Abbreviation,Hemisphere,Level_1,Level_2,Level_3,Level_4,Subdivisions_7,index,index2,clusfound,Subdivisions_7_nowm
Latero_Posterior_Nuclei_of_Thalamus,LP,Left,1_forebrain,2_diencephalon,p2,17_thalamus,4_diencephalon,156,156,0,4_diencephalon
Anterior_Thalamic_Nuclei,Athal,Left,1_forebrain,2_diencephalon,p2,17_thalamus,4_diencephalon,157,157,0,4_diencephalon
Red_Nucleus_Magnocellular,RMC,Left,2_midbrain,m1,m1,1_pretectal_tegmentum,4_diencephalon,158,158,0,4_diencephalon
Pararubral_Nucleus,PaR,Left,2_midbrain,m1,p1_and_m1_and_m2,2_midbrain_tegmentum,5_midbrain,159,159,0,5_midbrain
Retro_Rubral_Field,RR,Left,3_hindbrain,1_prepontine_hindbrain,isthmus,3_pontomedullary_hindbrain,6_hindbrain,160,160,0,6_hindbrain
Cerebrospinal_fluid,CSF,Left,5_ventricular_system,combo,combo,CSF,8_CSF,161,161,0,8_CSF
IntermediateReticularNucleus,IRN,Left,3_hindbrain,pontine_hindbrain,,axial_hindbrain_white_matter,6_hindbrain,162,162,0,6_hindbrain
PosteriorDorsal_ParaventricularMedialParvicellular_Posterior_LateralHypothalamus,PHD_PaMP_Post_and_LatHy,Left,1_forebrain,1_secondary_prosencephalon,8_rostral_secondary_prosencephalon,5_hypothalamus,4_diencephalon,163,163,1,4_diencephalon
Prerubral_Forel,PR_p3Tg_L,Left,1_forebrain,2_diencephalon,p2_and_p3,17_thalamus,4_diencephalon,164,164,0,4_diencephalon
PVG_of_Hypothalamus,PVG,Left,1_forebrain,1_secondary_prosencephalon,8_rostral_secondary_prosencephalon,5_hypothalamus,4_diencephalon,165,165,0,4_diencephalon
Basal Lateral Amygdala,BLA,Left,1_forebrain,1_secondary_prosencephalon,6_subpallium,8_pallial_and_subpallial_amygdala,2_pallium,166,166,0,2_pallium
Cingulate_Cortex_Area_24a,A24a,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,2_cingulate_cortex,1_isocortex,167,1001,0,1_isocortex
Cingulate_Cortex_Area_24a_prime,A24aPrime,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,2_cingulate_cortex,1_isocortex,168,1002,0,1_isocortex
Cingulate_Cortex_Area_24b,A24b,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,2_cingulate_cortex,1_isocortex,169,1003,0,1_isocortex
Cingulate_Cortex_Area_24b_prime,A24bPrime,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,2_cingulate_cortex,1_isocortex,170,1004,0,1_isocortex
Cingulate_Cortex_Area_29a,A29a,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,2_cingulate_cortex,1_isocortex,171,1005,0,1_isocortex
Cingulate_Cortex_Area_29b,A29b,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,2_cingulate_cortex,1_isocortex,172,1006,0,1_isocortex
Cingulate_Cortex_Area_29c,A29c,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,2_cingulate_cortex,1_isocortex,173,1007,0,1_isocortex
Cingulate_Cortex_Area_30,A30,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,2_cingulate_cortex,1_isocortex,174,1008,0,1_isocortex
Cingulate_Cortex_Area_32,A32,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,2_cingulate_cortex,1_isocortex,175,1009,0,1_isocortex
Primary_Auditory_Cortex,Au1,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,6_medial_pallium,1_isocortex,176,1010,0,1_isocortex
Secondary_Auditory_Cortex_Dorsal_Part,AuD,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,3_temporal_cortex,1_isocortex,177,1011,0,1_isocortex
Secondary_Auditory_Cortex_Ventral_Part,AuV,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,3_temporal_cortex,1_isocortex,178,1012,0,1_isocortex
Dorsolateral_Orbital_Cortex,DLO,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,179,1013,0,1_isocortex
Frontal_Cortex_Area_3,Fr3,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,180,1014,0,1_isocortex
Frontal_Association_Cortex,FrA,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,181,1015,0,1_isocortex
Insular_Cortex,Ins,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,4_insular_cortex,1_isocortex,182,1016,0,1_isocortex
Lateral_Orbital_Cortex,LO,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,183,1017,0,1_isocortex
Lateral_Parietal_Association_Cortex,LPtA,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,12_parietal_cortex,1_isocortex,184,1018,0,1_isocortex
Primary_Motor_Cortex,M1,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,185,1019,0,1_isocortex
Secondary_Motor_Cortex,M2,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,12_parietal_cortex,1_isocortex,186,1020,0,1_isocortex
Medial_Orbital_Cortex,MO,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,187,1021,0,1_isocortex
Medial_Parietal_Association_Cortex,MPtA,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,12_parietal_cortex,1_isocortex,188,1022,0,1_isocortex
Parietal_Cortex_Posterior_Area_Rostral_Part,PtPR,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,12_parietal_cortex,1_isocortex,189,1023,0,1_isocortex
Primary_Somatosensory_Cortex,S1,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,190,1024,0,1_isocortex
Primary_Somatosensory_Cortex_Barrel_Field,S1BF,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,191,1025,0,1_isocortex
Primary_Somatosensory_Cortex_Dysgranular_Zone,S1DZ,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,4_insular_cortex,1_isocortex,192,1026,0,1_isocortex
Primary_Somatosensory_CortexForelimb_Region,S1FL,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,193,1027,0,1_isocortex
Primary_Somatosensory_Cortex_Hindlimb_Region,S1HL,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,194,1028,0,1_isocortex
Primary_Somatosensory_Cortex_Jaw_Region,S1J,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,195,1029,0,1_isocortex
Primary_Somatosensory_Cortex_Shoulder_Region,S1Sh,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,196,1030,0,1_isocortex
Primary_Somatosensory_Cortex_Trunk_Region,S1Tr,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,197,1031,0,1_isocortex
Primary_Somatosensory_Cortex_Upper_Lip_Region,S1ULp,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,198,1032,0,1_isocortex
Secondary_Somatosensory_Cortex,S2,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,3_temporal_cortex,1_isocortex,199,1033,0,1_isocortex
Temporal_Association_Cortex,TeA,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,200,1034,0,1_isocortex
Primary_Visual_Cortex,V1,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,13_occipital_cortex,1_isocortex,201,1035,0,1_isocortex
Primary_Visual_Cortex_Binocular_Area,V1B,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,13_occipital_cortex,1_isocortex,202,1036,0,1_isocortex
Primary_Visual_Cortex_Monocular_Area,V1M,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,13_occipital_cortex,1_isocortex,203,1037,0,1_isocortex
Secondary_Visual_CortexLateral_Area,V2L,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,13_occipital_cortex,1_isocortex,204,1038,0,1_isocortex
Secondary_Visual_Cortex_Mediolateral_Area,V2ML,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,13_occipital_cortex,1_isocortex,205,1039,0,1_isocortex
Secondary_Visual_Cortex_Mediomedial_Area,V2MM,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,13_occipital_cortex,1_isocortex,206,1040,0,1_isocortex
Ventral_Orbital_Cortex,VO,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,1_frontal_cortex,1_isocortex,207,1041,0,1_isocortex
Caudomedial_Entorhinal_Cortex,CEnt,Right,1_forebrain,1_secondary_prosencephalon,4_dorsal_pallium,3_temporal_cortex,2_pallium,208,1042,0,2_pallium
Dorsal_Intermediate_Entorhinal_Cortex,DIEnt,Right,1_forebrain,1_secondary_prosencephalon,4_dorsal_pallium,3_temporal_cortex,2_pallium,209,1043,0,2_pallium
Dorsolateral_Entorhinal_Cortex,DLEnt,Right,1_forebrain,1_secondary_prosencephalon,4_dorsal_pallium,3_temporal_cortex,2_pallium,210,1044,0,2_pallium
Medial_Entorhinal_Cortex,MEnt,Right,1_forebrain,1_secondary_prosencephalon,4_dorsal_pallium,3_temporal_cortex,2_pallium,211,1045,0,2_pallium
Ventral_Intermediate_Entorhinal_Cortex,VIEnt,Right,1_forebrain,1_secondary_prosencephalon,4_dorsal_pallium,3_temporal_cortex,2_pallium,212,1046,0,2_pallium
Claustrum,Cl,Right,1_forebrain,1_secondary_prosencephalon,2_lateral_pallium,7_lateral_pallium,2_pallium,213,1047,0,2_pallium
Dorsal_Claustrum,DCl,Right,1_forebrain,1_secondary_prosencephalon,2_lateral_pallium,7_lateral_pallium,2_pallium,214,1048,0,2_pallium
Posterolateral_Cortical_Amygdaloid_Area,PLCo,Right,1_forebrain,1_secondary_prosencephalon,2_lateral_pallium,8_pallial_and_subpallial_amygdala,2_pallium,215,1049,0,2_pallium
Ventral_Claustrum,VCl,Right,1_forebrain,1_secondary_prosencephalon,2_lateral_pallium,7_lateral_pallium,2_pallium,216,1050,0,2_pallium
Hippocampus,Hc,Right,1_forebrain,1_secondary_prosencephalon,3_medial_pallium,6_medial_pallium,2_pallium,217,1051,0,2_pallium
Dorsal_Tenia_Tecta,DTT,Right,1_forebrain,1_secondary_prosencephalon,3_medial_pallium,6_medial_pallium,2_pallium,218,1052,0,2_pallium
Ectorhinal_Cortex,Ect,Right,1_forebrain,1_secondary_prosencephalon,3_medial_pallium,3_temporal_cortex,2_pallium,219,1053,0,2_pallium
Parasubiculum,PaS,Right,1_forebrain,1_secondary_prosencephalon,3_medial_pallium,6_medial_pallium,2_pallium,220,1054,0,2_pallium
Perirhinal_Cortex,PRh,Right,1_forebrain,1_secondary_prosencephalon,3_medial_pallium,3_temporal_cortex,2_pallium,221,1055,0,2_pallium
Presubiculum,PrS,Right,1_forebrain,1_secondary_prosencephalon,3_medial_pallium,6_medial_pallium,2_pallium,222,1056,0,2_pallium
Piriform_Cortex,Pir,Right,1_forebrain,1_secondary_prosencephalon,5_ventral_pallium,12_lateral_pallium,2_pallium,223,1057,0,2_pallium
Amygdalopiriform_Transition_Area,APir,Right,1_forebrain,1_secondary_prosencephalon,5_ventral_pallium,15_pallium,2_pallium,224,1058,0,2_pallium
Hypothalamus,Hyp,Right,1_forebrain,1_secondary_prosencephalon,8_rostral_secondary_prosencephalon,5_hypothalamus,4_diencephalon,225,1059,0,4_diencephalon
Preoptic_Telencephalon,Pre_Tel,Right,1_forebrain,1_secondary_prosencephalon,8_rostral_secondary_prosencephalon,6_medial_pallium,2_pallium,226,1060,0,2_pallium
Subthalamic_Nucleus,Sthal,Right,1_forebrain,1_secondary_prosencephalon,8_caudal_secondary_prosencephalon,5_hypothalamus,4_diencephalon,227,1061,0,4_diencephalon
Septum,SPT,Right,1_forebrain,1_secondary_prosencephalon,6_subpallium,8_subpallial_amygdala,3_subpallium,228,1062,0,3_subpallium
Globus_Pallidus,GP,Right,1_forebrain,1_secondary_prosencephalon,6_subpallium,9_pallidum,3_subpallium,229,1063,0,3_subpallium
Striatum,CPu,Right,1_forebrain,1_secondary_prosencephalon,6_subpallium,10_subpallial_septum,3_subpallium,230,1064,0,3_subpallium
Amygdala,Amy,Right,1_forebrain,1_secondary_prosencephalon,6_subpallium,9_pallidum,3_subpallium,231,1065,0,3_subpallium
Accumbens,Acb,Right,1_forebrain,1_secondary_prosencephalon,6_subpallium,14_striatum,3_subpallium,232,1066,0,3_subpallium
Bed_Nucleus_of_the_Stria_Terminalis,BNst,Right,1_forebrain,1_secondary_prosencephalon,6_subpallium,8_pallial_and_subpallial_amygdala,3_subpallium,233,1067,0,3_subpallium
Ventral_Pallidum,Vpal,Right,1_forebrain,1_secondary_prosencephalon,6_subpallium,11_paraseptal_subpallium,3_subpallium,234,1068,0,3_subpallium
Periaquaductal_Grey,PAG,Right,1_forebrain,2_diencephalon,p1,15_pretectum,4_diencephalon,235,1069,0,4_diencephalon
Anterior_Pretectal_Nucleus,APT,Right,1_forebrain,2_diencephalon,p1,15_pretectum,4_diencephalon,236,1070,0,4_diencephalon
Ventral_Tegmental_Area,VTA,Right,1_forebrain,2_diencephalon,p1,18_tegmentum,4_diencephalon,237,1071,0,4_diencephalon
Thalamus_Rest,Thal_R,Right,1_forebrain,2_diencephalon,p2,17_thalamus,4_diencephalon,238,1072,0,4_diencephalon
Ventral_Thalamic_Nuclei,VT,Right,1_forebrain,2_diencephalon,p2,17_thalamus,4_diencephalon,239,1073,0,4_diencephalon
Latero_Dorsal_Nucleus_of_Thalamus,LDNT,Right,1_forebrain,2_diencephalon,p2,17_thalamus,4_diencephalon,240,1074,0,4_diencephalon
Medial_Geniculate_Nucleus,MGN,Right,1_forebrain,2_diencephalon,p2,17_thalamus,4_diencephalon,241,1075,0,4_diencephalon
Lateral_Geniculate_Nucleus,LGN,Right,1_forebrain,2_diencephalon,p2,17_thalamus,4_diencephalon,242,1076,0,4_diencephalon
Zona_Incerta,ZI,Right,1_forebrain,2_diencephalon,p3,16_prethalamus,4_diencephalon,243,1077,0,4_diencephalon
Reticular_Nucleus_of_Thalamus,RTN,Right,1_forebrain,2_diencephalon,p3,17_thalamus,4_diencephalon,244,1078,0,4_diencephalon
Subbrachial_Nucleus_and_Peripeduncular_Nucleus,Sub_PP,Right,1_forebrain,2_diencephalon,p3,3_middbrain_tectum,4_diencephalon,245,1079,0,4_diencephalon
Deep_Mesencephalic_Nuclei,DpMe,Right,2_midbrain,combo,p1,1_pretectal_tegmentum,4_diencephalon,246,1080,0,4_diencephalon
Superior_Colliculus,SC,Right,2_midbrain,m1,m1,3_middbrain_tectum,5_midbrain,247,1081,0,5_midbrain
Inferior_Colliculus,IC,Right,2_midbrain,m1,m1,3_middbrain_tectum,5_midbrain,248,1082,0,5_midbrain
Substantia_Nigra,SN,Right,2_midbrain,m1,m1,2_midbrain_tegmentum,5_midbrain,249,1083,0,5_midbrain
Red_Nucleus_Parvicellular,RPC,Right,1_forebrain,2_diencephalon,p1,16_pretectal_tegmentum,5_midbrain,250,1084,0,5_midbrain
Midbrain_Reticular_Nucleus,MRN,Right,2_midbrain,m1,m1,3_middbrain_tectum,5_midbrain,251,1085,0,5_midbrain
Rostral_Linear_Nucleus,RI,Right,2_midbrain,m1,m1,2_midbrain_tegmentum,5_midbrain,252,1086,0,5_midbrain
Cuneiform_Nucleus,Cn,Right,2_midbrain,m2,m2,3_midbrain_tectum,5_midbrain,253,1087,0,5_midbrain
Precuneiform_Nucleus,PrCn,Right,2_midbrain,m2,m2,3_midbrain_tectum,5_midbrain,254,1088,0,5_midbrain
Brain_Stem_Rest,BS_R,Right,3_hindbrain,combo,combo,5_combo,6_hindbrain,255,1089,0,6_hindbrain
Interpeduncular_Nucleus,Iped,Right,3_hindbrain,1_prepontine_hindbrain,isthmus,1_pons,6_hindbrain,256,1090,0,6_hindbrain
Cerebellar_Cortex,Cb_1_10,Right,3_hindbrain,1_prepontine_hindbrain,isthmus,2_cerebellum,6_hindbrain,257,1091,0,6_hindbrain
Dentate_(Lateral)_Nucleus_of_Cerebellum,Den,Right,3_hindbrain,1_prepontine_hindbrain,isthmus,2_cerebellum,6_hindbrain,258,1092,0,6_hindbrain
Interposed_Nucleus_of_Cerebellum,Int,Right,3_hindbrain,1_prepontine_hindbrain,isthmus,2_cerebellum,6_hindbrain,259,1093,0,6_hindbrain
Fastigial_Medial_Dorsolateral_Nucleus_of_Cerebellum,FasDL,Right,3_hindbrain,1_prepontine_hindbrain,isthmus,2_cerebellum,6_hindbrain,260,1094,0,6_hindbrain
Fastigial_Medial_Nucleus_of_Cerebellum,FasMed,Right,3_hindbrain,1_prepontine_hindbrain,isthmus,2_cerebellum,6_hindbrain,261,1095,0,6_hindbrain
Ventral_Lateral_Lemniscus_Nucleus,Vll,Right,3_hindbrain,1_prepontine_hindbrain,isthmus,3_pontomedullary_hindbrain,6_hindbrain,262,1096,0,6_hindbrain
Parabrachial_Nucleus,ParB,Right,3_hindbrain,1_prepontine_hindbrain,isthmus,3_pontomedullary_hindbrain,6_hindbrain,263,1097,0,6_hindbrain
Parabrachial_Medial_Nucleus_and_Koelliker_Fuse_Nucleus,KF,Right,3_hindbrain,1_prepontine_hindbrain,isthmus,3_pontomedullary_hindbrain,6_hindbrain,264,1098,0,6_hindbrain
Parvicellular_Reticular_Nucleus_and_Principal_Sensory_Trigeminal_Nucleus,PCRt,Right,3_hindbrain,1_prepontine_hindbrain,r1_and_r2,3_pontomedullary_hindbrain,6_hindbrain,265,1099,0,6_hindbrain
Central_Gray,CG,Right,3_hindbrain,1_prepontine_hindbrain,r1,1_pons,6_hindbrain,266,1100,0,6_hindbrain
Pedunculotegmental_Medial_Paralemniscial_and_Supratrigemnial_Nuclei,Su5,Right,3_hindbrain,1_prepontine_hindbrain,r1,3_pontomedullary_hindbrain,6_hindbrain,267,1101,0,6_hindbrain
Motor_Root_of_Trigeminal_Nerve,m5,Right,4_white_matter_tracts,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter,6_hindbrain,268,1102,0,6_hindbrain
Trigeminal_Motor_Nucleus,5N,Right,3_hindbrain,1_prepontine_hindbrain,r2,3_pontomedullary_hindbrain,6_hindbrain,269,1103,0,6_hindbrain
Pontine_Reticular_Nucleus,PnC,Right,3_hindbrain,1_prepontine_hindbrain,r2,3_pontomedullary_hindbrain,6_hindbrain,270,1104,0,6_hindbrain
Raphe_Nucleus,Raph,Right,3_hindbrain,1_prepontine_hindbrain,r1_and_r2,3_pontomedullary_hindbrain,6_hindbrain,271,1105,0,6_hindbrain
Trigeminal_Sensory_Nucleus,Pr5,Right,3_hindbrain,1_prepontine_hindbrain,r1_and_r2,3_pontomedullary_hindbrain,6_hindbrain,272,1106,0,6_hindbrain
Dorsal_Tegmentum,DTg,Right,3_hindbrain,1_prepontine_hindbrain,r1_and_r2,1_pons,6_hindbrain,273,1107,0,6_hindbrain
Tegmental_Nucleus,Tg,Right,3_hindbrain,2_pontine_hindbrain,r1,1_pons,6_hindbrain,274,1108,0,6_hindbrain
Cochlear_Nucleus,CoN,Right,3_hindbrain,2_pontine_hindbrain,r3,1_pons,6_hindbrain,275,1109,0,6_hindbrain
Pontine_Nucleus,Pn,Right,3_hindbrain,2_pontine_hindbrain,r3_and_r4,1_pons,6_hindbrain,276,1110,0,6_hindbrain
Reticulotegmental_Nucleus_of_Pons,RTg,Right,3_hindbrain,2_pontine_hindbrain,r3_and_r4,1_pons,6_hindbrain,277,1111,0,6_hindbrain
Olivary_Complex,Oliv,Right,3_hindbrain,3_pontomedullary_hindbrain,r5,1_pons,6_hindbrain,278,1112,0,6_hindbrain
Pontine_Reticular_Nucleus,PnRt,Right,3_hindbrain,3_pontomedullary_hindbrain,r5,1_pons,6_hindbrain,279,1113,0,6_hindbrain
Spinal_Trigeminal_Nucleus,Sp5,Right,3_hindbrain,3_pontomedullary_hindbrain,r3_to_r11,1_pons,6_hindbrain,280,1114,0,6_hindbrain
Vestibular_Nuclei,Ve,Right,3_hindbrain,3_pontomedullary_hindbrain,r3_to_r9,1_pons,6_hindbrain,281,1115,0,6_hindbrain
Gigantocellular_Reticular_Nucleus,Gi,Right,3_hindbrain,4_medullary_hindbrain,r6_to_r10,4_medulla,6_hindbrain,282,1116,0,6_hindbrain
Cuneate_Nucleus,Cu,Right,3_hindbrain,4_medullary_hindbrain,r9_to_r10,4_medulla,6_hindbrain,283,1117,0,6_hindbrain
Anterior_Commisure,ac,Right,4_white_matter_tracts,forebrain_white_matter,prosencephalon_white_matter,white_matter,7_whitematter,284,1118,0,7_whitematter
Optic_Tracts,ot,Right,4_white_matter_tracts,forebrain_white_matter,prosencephalon_white_matter,white_matter,7_whitematter,285,1119,0,7_whitematter
Fimbria,fi,Right,4_white_matter_tracts,forebrain_white_matter,prosencephalon_white_matter,white_matter,7_whitematter,286,1120,0,7_whitematter
Corpus_Callosum,cc,Right,4_white_matter_tracts,forebrain_white_matter,prosencephalon_white_matter,white_matter,7_whitematter,287,1121,0,7_whitematter
Fornix,fx,Right,4_white_matter_tracts,forebrain_white_matter,prosencephalon_white_matter,white_matter,7_whitematter,288,1122,0,7_whitematter
